observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,zel(CO_321:1000222),zel(CO_321:1000222).date
AO13026itkt,2879853,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,2013,"18,2",,67,,NA,,100,,NA,,"72,1",,NA,,"88,5",,NA,,"260,6",,111,,"1,64",,265,,74,,406,,"45,9",,"10,4",,82,,NA,,1622,,NA,
AO13029itkt,2879859,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,2013,"16,5",,56,,NA,,100,,NA,,"76,3",,NA,,"91,5",,NA,,"267,8",,77,,"1,39",,167,,72,,365,,"49,3",,"10,5",,"79,4",,NA,,1615,,NA,
AO13031itkt,2879866,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,2013,18,,65,,NA,,100,,NA,,"57,53",,NA,,"85,88",,NA,,"243,41",,120,,"1,83",,295,,70,,398,,"46,9",,"10,4",,80,,NA,,1632,,NA,
AO13042itkt,2879879,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,2013,"21,1",,90,,NA,,100,,NA,,"70,6",,NA,,"91,13",,NA,,"261,73",,58,,"0,64",,188,,72,,417,,"42,3",,"10,4",,78,,NA,,1677,,NA,
RE12080itkt,2879893,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,2013,"21,3",,92,,NA,,100,,NA,,82,,NA,,90,,NA,,272,,72,,"0,78",,223,,74,,424,,"46,6",,"11,2",,"79,6",,NA,,1607,,NA,
CF10185itkt,2879922,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,2013,"16,2",,53,,91,,NA,,78,,NA,,90,,NA,,259,,NA,,93,,"1,75",,186,,80,,422,,NA,,"11,1",,NA,,1563,,NA,,31,
AO13003itkt,2879857,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,61449,https://doi.org/10.15454/ACXILT,AO13003,VIRTUAL_TRIAL,,,,,,,,2013,"20,2",,83,,94,,NA,,68,,NA,,60,,NA,,222,,NA,,51,,"0,62",,115,,"77,5",,399,,NA,,"11,5",,NA,,1573,,NA,,22,
DI13002itkt,2879873,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,61791,https://doi.org/10.15454/GW5VMO,DI13002,VIRTUAL_TRIAL,,,,,,,,2013,22,,98,,NA,,100,,NA,,"75,7",,NA,,97,,NA,,"272,7",,58,,"0,59",,189,,62,,379,,"46,8",,"10,4",,"79,9",,NA,,1590,,NA,
EM12040itkt,2879885,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,61883,https://doi.org/10.15454/ZJTOW0,EM12040,VIRTUAL_TRIAL,,,,,,,,2013,"19,9",,80,,NA,,100,,NA,,82,,NA,,"81,5",,NA,,"263,5",,75,,"0,94",,213,,78,,406,,"47,8",,"11,2",,82,,NA,,1705,,NA,
CF10064itkt,2879860,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,2013,"19,4",,76,,94,,NA,,68,,NA,,79,,NA,,241,,NA,,71,,"0,93",,192,,"41,5",,378,,NA,,"11,1",,NA,,1525,,NA,,"26,5",
EM11537itkt,2879851,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,2013,"18,1",,66,,97,,NA,,80,,NA,,92,,NA,,269,,NA,,88,,"1,33",,185,,"92,5",,397,,NA,,"11,4",,NA,,1605,,NA,,30,
AO13013itkt,2879900,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,60800,https://doi.org/10.15454/Z0VQYE,AO13013,VIRTUAL_TRIAL,,,,,,,,2013,"19,1",,74,,94,,NA,,49,,NA,,94,,NA,,237,,NA,,93,,"1,26",,222,,91,,437,,NA,,"11,5",,NA,,1343,,NA,,35,
AO13015itkt,2879902,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,60834,https://doi.org/10.15454/KQGENR,AO13015,VIRTUAL_TRIAL,,,,,,,,2013,"19,1",,74,,100,,NA,,72,,NA,,86,,NA,,258,,NA,,75,,"1,01",,174,,"88,5",,436,,NA,,"11,1",,NA,,1545,,NA,,33,
AO13045itkt,2879924,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,61318,https://doi.org/10.15454/WK73B3,AO13045,VIRTUAL_TRIAL,,,,,,,,2013,"16,4",,54,,NA,,100,,NA,,"82,9",,NA,,"82,25",,NA,,"265,15",,102,,"1,87",,224,,66,,413,,"51,2",,"10,3",,"77,8",,NA,,1630,,NA,
