observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
CF10185itkt,2880164,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,treated,2014,141,,"10,8",,79,,"97,9",,"97,8",
RE11058itkt,2880147,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,treated,2014,133,,"10,5",,"78,8",,"104,8",,"104,7",
CF10064itkt,2880131,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,treated,2014,137,,"11,73",,"77,3",,"93,1",,93,
RE11116itkt,2880152,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,48613,https://doi.org/10.15454/12BULQ,RE11116,VIRTUAL_TRIAL,,,,,,,,treated,2014,139,,"9,97",,"79,3",,"109,7",,"109,6",
DI12004itkt,2880139,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,treated,2014,139,,"11,3",,"78,6",,98,,"97,9",
EM11537itkt,2880126,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,treated,2014,140,,"10,03",,"78,5",,"110,9",,"110,8",
CF11051itkt,2880128,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,treated,2014,136,,"10,43",,"78,3",,101,,"100,9",
EM11400itkt,2880145,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,treated,2014,130,,"11,2",,"74,5",,"99,3",,"99,2",
AO13027itkt,2880134,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,49214,https://doi.org/10.15454/8SM83Z,AO13027,VIRTUAL_TRIAL,,,,,,,,treated,2014,129,,"10,83",,"76,8",,"98,3",,"98,2",
RE11073itkt,2880132,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,treated,2014,138,,"10,37",,"80,1",,"109,1",,109,
AO13013itkt,2880158,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,60800,https://doi.org/10.15454/Z0VQYE,AO13013,VIRTUAL_TRIAL,,,,,,,,treated,2014,136,,"10,13",,"75,8",,"102,7",,"102,6",
Rubiskoitkt,2880160,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,treated,2014,134,,"11,07",,"76,5",,"101,2",,"101,1",
CF11177itkt,2880161,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,treated,2014,138,,"11,03",,"76,7",,"92,4",,"92,3",
AO13047itkt,2880137,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,49371,https://doi.org/10.15454/QBXBWF,AO13047,VIRTUAL_TRIAL,,,,,,,,treated,2014,138,,"10,43",,"79,1",,"102,4",,"102,3",
CF09117itkt,2880156,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2014,137,,"11,67",,"77,4",,"92,1",,92,
RE11075itkt,2880129,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,treated,2014,138,,"10,17",,"79,9",,"105,1",,105,
DI11013itkt,2880157,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,treated,2014,139,,"10,3",,"79,8",,"98,8",,"98,7",
Apacheitkt,2880142,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2014,129,,"10,7",,"77,1",,"98,8",,"98,7",
AO12014itkt,2880135,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,treated,2014,138,,"10,1",,"75,4",,"102,3",,"102,2",
Gallixeitkt,2880155,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,treated,2014,135,,"10,3",,"75,6",,"103,9",,"103,8",
