observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
AO13026itkfi,2885171,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,85,,143,,"78,8",,"108,2",,7,,"61,8",,"2,5",,"3,5",
AO13016itkfi,2885188,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,60850,https://doi.org/10.15454/R4ROYJ,AO13016,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,92,,145,,"70,2",,"109,7",,3,,"62,7",,1,,3,
RE13059itkfi,2885176,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,61588,https://doi.org/10.15454/RQPBLE,RE13059,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,139,,"77,3",,"116,9",,1,,"66,8",,1,,"3,5",
AO13029itkfi,2885169,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,78,,137,,76,,"104,9",,1,,60,,1,,"4,5",
CF13131itkfi,2885166,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,61136,https://doi.org/10.15454/JQLJOT,CF13131,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,92,,136,,"76,8",,"123,5",,5,,"70,6",,1,,3,
Rubiskoitkfi,2885195,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,80,,138,,"75,3",,"114,7",,1,,"65,5",,1,,4,
AO14006itkfi,2885186,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,61894,https://doi.org/10.15454/6JMAYP,AO14006,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,85,,138,,"75,2",,"130,8",,"3,5",,"74,7",,1,,"2,5",
AO14001itkfi,2885181,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,61803,https://doi.org/10.15454/LCA9U1,AO14001,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,140,,70,,"101,8",,1,,"58,2",,7,,"5,5",
AO13031itkfi,2885190,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,82,,140,,"78,8",,"120,4",,"7,5",,"68,8",,1,,"3,5",
RE13005itkfi,2885199,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,48484,https://doi.org/10.15454/L7ZWCU,RE13005,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,139,,"77,4",,"123,5",,1,,"70,6",,1,,"2,5",
