observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date
AO14011itkfi,2886582,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,61971,https://doi.org/10.15454/O3PVS1,AO14011,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,139,,"78,4",,"99,2",,"80,9",,4,
Arezzoitkfi,2886608,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,92,,126,,"79,8",,"113,1",,"92,2",,1,
RE13074itkfi,2886592,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,61604,https://doi.org/10.15454/DDCHHB,RE13074,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,115,,143,,"81,8",,"109,3",,"89,1",,1,
AO14017itkfi,2886588,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,62096,https://doi.org/10.15454/JY3UZ7,AO14017,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,105,,139,,"81,3",,"111,6",,"90,9",,1,
CF13042itkfi,2886594,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,61005,https://doi.org/10.15454/ONQVGT,CF13042,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,102,,139,,"78,2",,"100,1",,"81,5",,4,
CF13057itkfi,2886576,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,61065,https://doi.org/10.15454/IEJHD9,CF13057,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,98,,138,,"76,2",,"123,9",,101,,"2,5",
AO14015itkfi,2886586,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,62064,https://doi.org/10.15454/1MJ4QE,AO14015,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,98,,139,,"83,3",,"109,6",,"89,3",,4,
Bermudeitkfi,2886575,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,95,,140,,"77,3",,"92,6",,"75,5",,1,
AO14009itkfi,2886606,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,61940,https://doi.org/10.15454/SOX3JM,AO14009,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,85,,139,,"78,4",,"109,2",,89,,"1,5",
DI14003itkfi,2886573,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,61289,https://doi.org/10.15454/SINHNW,DI14003,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,95,,142,,76,,"93,9",,"76,5",,"5,5",
RE13106itkfi,2886602,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,49524,https://doi.org/10.15454/FSEIOR,RE13106,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,100,,132,,"76,9",,"113,2",,"92,2",,"1,5",
