observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,ht(CO_321:1000218),ht(CO_321:1000218).date,itk,oid(CO_321:1000145),oid(CO_321:1000145).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
ARKEOSitk15,2970658,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,27751,https://doi.org/10.15454/OYNH7Y,ARKEOS,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,,,5,,,,,,,,,
AO13026itkt,2970541,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,2015,105,,traite,,,50.3,,135,,11.4,,84.7,,104.6,,,,124.8,,,,,,1,
AO13026itknt,2970540,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,2015,97,,non traite fongicides,1,,36.5,,136,,12.5,,77.8,,78.6,,4,,73.7,,6,,NA,,1,
AO13026itkfi,2970539,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,2015,100,,faible intrant,1,,40.3,,136,,11.7,,78.7,,82.2,,5,,76.8,,6.5,,NA,,1,
AO13029itk15,2970546,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,,,4,,,,,,,,,
AO13029itkt,2970549,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,2015,91,,traite,,,52.9,,132,,11.1,,82,,100.4,,,,119.7,,,,,,1,
AO13029itknt,2970548,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,2015,87,,non traite fongicides,2.5,,43.2,,132,,11.4,,79.5,,99.4,,2,,93.2,,1,,5.5,,1,
AO13029itkfi,2970547,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,2015,92,,faible intrant,2.5,,46.8,,131,,10.9,,79.9,,106.7,,2,,99.7,,1,,4,,1,
AO13031itk15,2970650,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,,,7,,,,,,,,,
AO13031itkt,2970653,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,2015,101,,traite,,,43.4,,133,,11.3,,83.1,,105.5,,,,125.9,,,,,,1,
AO13031itknt,2970652,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,2015,98,,non traite fongicides,1,,38.2,,134,,12,,80.2,,105.2,,3,,98.7,,1,,6.5,,1,
AO13031itkfi,2970651,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,2015,90,,faible intrant,1,,40.9,,131,,11.2,,81.1,,103.1,,2.5,,96.3,,2.5,,5,,1,
DI14001itk15,2970622,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61257,https://doi.org/10.15454/VZKVRG,DI14001,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,,,3,,,,,,,,,
DI14001itkt,2970625,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61257,https://doi.org/10.15454/VZKVRG,DI14001,VIRTUAL_TRIAL,,,,,,,,2015,108,,traite,,,60.7,,134,,11.1,,81.7,,108.2,,,,129,,,,,,1,
DI14001itknt,2970624,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61257,https://doi.org/10.15454/VZKVRG,DI14001,VIRTUAL_TRIAL,,,,,,,,2015,102,,non traite fongicides,1,,49.5,,134,,11,,78.5,,105.8,,2.5,,99.2,,1,,3,,1,
DI14001itkfi,2970623,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61257,https://doi.org/10.15454/VZKVRG,DI14001,VIRTUAL_TRIAL,,,,,,,,2015,105,,faible intrant,1,,48.8,,134,,10.9,,78,,99.8,,2,,93.3,,3.5,,2,,1,
AO13042itk15,2970594,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,,,6,,,,,,,,,
AO13042itkt,2970597,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,2015,97,,traite,,,46.4,,136,,10.4,,82.5,,105,,,,125.2,,,,,,1,
AO13042itknt,2970596,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,2015,94,,non traite fongicides,1,,38.1,,135,,10.9,,79.2,,101,,3,,94.7,,1,,5,,1,
AO13042itkfi,2970595,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,2015,100,,faible intrant,1,,41.6,,136,,10.5,,80.8,,97.8,,2,,91.4,,1,,5,,1,
DI14004itk15,2970530,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61305,https://doi.org/10.15454/QTCIDC,DI14004,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,,,1,,,,,,,,,
DI14004itkt,2970533,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61305,https://doi.org/10.15454/QTCIDC,DI14004,VIRTUAL_TRIAL,,,,,,,,2015,100,,traite,,,50,,139,,11.5,,80.7,,107.3,,,,128,,,,,,1,
DI14004itkfi,2970531,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61305,https://doi.org/10.15454/QTCIDC,DI14004,VIRTUAL_TRIAL,,,,,,,,2015,100,,faible intrant,1,,45.1,,138,,10.5,,79.4,,118,,2,,110.3,,1,,1.5,,1,
DI14004itknt,2970532,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61305,https://doi.org/10.15454/QTCIDC,DI14004,VIRTUAL_TRIAL,,,,,,,,2015,95,,non traite fongicides,1,,43.9,,138,,11.8,,79.1,,121.4,,1.5,,113.9,,1,,2,,1.5,
RE12080itk15,2970570,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,,,3,,,,,,,,,
RE12080itknt,2970572,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,2015,97,,non traite fongicides,1,,43.5,,132,,11.8,,80.6,,111.3,,2.5,,104.4,,1,,4,,1,
RE12080itkfi,2970571,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,2015,98,,faible intrant,1,,45.5,,132,,11.5,,80.7,,110.5,,2,,103.3,,1,,3.5,,1,
RE12080itkt,2970573,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,2015,100,,traite,,,48.6,,134,,11.7,,81.8,,99.9,,,,119.2,,,,,,2.5,
AO14001itk15,2970674,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61803,https://doi.org/10.15454/LCA9U1,AO14001,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,,,NA,,,,,,,,,
AO14001itknt,2970676,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61803,https://doi.org/10.15454/LCA9U1,AO14001,VIRTUAL_TRIAL,,,,,,,,2015,95,,non traite fongicides,1,,27.2,,138,,12.8,,62.3,,61.3,,NA,,57.5,,7.5,,NA,,1,
AO14001itkfi,2970675,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61803,https://doi.org/10.15454/LCA9U1,AO14001,VIRTUAL_TRIAL,,,,,,,,2015,102,,faible intrant,1,,31,,137,,12.2,,66.8,,69.4,,NA,,64.8,,7,,NA,,1,
AO14001itkt,2970677,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,61803,https://doi.org/10.15454/LCA9U1,AO14001,VIRTUAL_TRIAL,,,,,,,,2015,105,,traite,,,53.4,,136,,10.8,,79.2,,116.4,,,,138.8,,,,,,1,
EM11537itk15,2970526,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,,,5,,,,,,,,,
EM11537itknt,2970528,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,2015,95,,non traite fongicides,1,,38.9,,140,,12.1,,78.2,,98.7,,2,,92.6,,1,,4,,1,
EM11537itkt,2970529,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,2015,94,,traite,,,48.3,,140,,10.5,,82.9,,96.7,,,,115.3,,,,,,1,
