observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE13014itkfi,2972068,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,48609,https://doi.org/10.15454/QLBPQK,RE13014,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,122,,132,,9.6,,82.1,,104.9,,1,,76.3,,1,,1,
CF13057itkfi,2972056,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61065,https://doi.org/10.15454/IEJHD9,CF13057,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,96,,132,,10,,77.6,,105.9,,1,,77,,1,,1,
CF13131itkt,2972045,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61136,https://doi.org/10.15454/JQLJOT,CF13131,VIRTUAL_TRIAL,,,,,,,,traite,2015,96,,129,,10.6,,80.5,,82,,,,76,,,,8,
CF13131itkfi,2972044,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61136,https://doi.org/10.15454/JQLJOT,CF13131,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,94,,130,,9.4,,78.8,,102.9,,1,,74.9,,1,,1,
CF13085itkfi,2972046,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61107,https://doi.org/10.15454/18C6AU,CF13085,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,106,,130,,10.3,,80.2,,106.5,,1,,77.5,,2,,1,
CF13085itkt,2972047,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61107,https://doi.org/10.15454/18C6AU,CF13085,VIRTUAL_TRIAL,,,,,,,,traite,2015,105,,130,,11.5,,81.8,,103,,,,95.4,,,,6.5,
CF13187itkt,2972095,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61181,https://doi.org/10.15454/RVUPRG,CF13187,VIRTUAL_TRIAL,,,,,,,,traite,2015,102,,133,,11,,76.8,,92.6,,,,85.7,,,,1,
CF13187itkfi,2972094,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61181,https://doi.org/10.15454/RVUPRG,CF13187,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,102,,133,,10.1,,75.2,,90.9,,1,,66.1,,2,,1,
EM13073itkt,2972087,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61398,https://doi.org/10.15454/HEUAIP,EM13073,VIRTUAL_TRIAL,,,,,,,,traite,2015,95,,133,,11.1,,79.2,,96.9,,,,89.8,,,,1,
EM13073itkfi,2972086,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61398,https://doi.org/10.15454/HEUAIP,EM13073,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,96,,134,,10.1,,77.8,,94.3,,1,,68.6,,1,,1,
