observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,ht(CO_321:1000218),ht(CO_321:1000218).date,itk,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE13014itk15,2972654,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,48609,https://doi.org/10.15454/QLBPQK,RE13014,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,4,,,,,,,,,
CF13057itknt,2972632,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61065,https://doi.org/10.15454/IEJHD9,CF13057,VIRTUAL_TRIAL,,,,,,,,2015,101,,non traite fongicides,1,,134,,,,78.8,,121.2,,2.5,,110.5,,2,,2.5,,1,
CF13057itkfi,2972631,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61065,https://doi.org/10.15454/IEJHD9,CF13057,VIRTUAL_TRIAL,,,,,,,,2015,100,,faible intrant,3.5,,134,,10.6,,77.9,,121.1,,2.5,,101.9,,2,,3,,1,
CF13057itkt,2972633,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61065,https://doi.org/10.15454/IEJHD9,CF13057,VIRTUAL_TRIAL,,,,,,,,2015,102,,traite,,,135,,11.3,,79.8,,111.2,,,,128.8,,,,,,3.5,
CF13131itk15,2972606,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61136,https://doi.org/10.15454/JQLJOT,CF13131,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,4,,,,,,,,,
CF13131itkt,2972609,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61136,https://doi.org/10.15454/JQLJOT,CF13131,VIRTUAL_TRIAL,,,,,,,,2015,96,,traite,,,131,,10.9,,80.3,,100.5,,,,116.4,,,,,,4,
CF13131itknt,2972608,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61136,https://doi.org/10.15454/JQLJOT,CF13131,VIRTUAL_TRIAL,,,,,,,,2015,100,,non traite fongicides,2,,131,,,,77.4,,104.8,,2,,95.6,,1,,6,,1.5,
CF13131itkfi,2972607,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61136,https://doi.org/10.15454/JQLJOT,CF13131,VIRTUAL_TRIAL,,,,,,,,2015,100,,faible intrant,1,,130,,10.4,,77.8,,113.5,,3,,95.5,,1,,6,,1,
CF13085itk15,2972610,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61107,https://doi.org/10.15454/18C6AU,CF13085,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,5,,,,,,,,,
CF13085itknt,2972612,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61107,https://doi.org/10.15454/18C6AU,CF13085,VIRTUAL_TRIAL,,,,,,,,2015,108,,non traite fongicides,1,,132,,,,80.1,,105.8,,4,,96.5,,1,,4,,1,
CF13085itkfi,2972611,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61107,https://doi.org/10.15454/18C6AU,CF13085,VIRTUAL_TRIAL,,,,,,,,2015,115,,faible intrant,1,,131,,11.2,,78.2,,117.6,,4,,98.9,,3,,4.5,,1,
