observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2973714,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76118,https://doi.org/10.15454/ZGXAAA,CF14072,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,73.91,
2,2973677,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76109,https://doi.org/10.15454/0ZCHAM,EM13013,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,10.77,,76.94,
1,2973676,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76109,https://doi.org/10.15454/0ZCHAM,EM13013,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,11.25,,79.9,
2,2973675,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76109,https://doi.org/10.15454/0ZCHAM,EM13013,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,73.65,
1,2973674,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76109,https://doi.org/10.15454/0ZCHAM,EM13013,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,75.44,
2,2973681,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76110,https://doi.org/10.15454/TE3YF6,EM14045,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,11.28,,73.09,
1,2973680,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76110,https://doi.org/10.15454/TE3YF6,EM14045,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,12.44,,75.25,
2,2973679,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76110,https://doi.org/10.15454/TE3YF6,EM14045,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,72.63,
1,2973678,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76110,https://doi.org/10.15454/TE3YF6,EM14045,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,74.29,
1,2973684,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76111,https://doi.org/10.15454/6OEF2E,EM14046,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,11.39,,80.94,
2,2973683,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76111,https://doi.org/10.15454/6OEF2E,EM14046,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,76.46,
1,2973682,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76111,https://doi.org/10.15454/6OEF2E,EM14046,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,69.82,
2,2973685,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76111,https://doi.org/10.15454/6OEF2E,EM14046,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,11.1,,74.32,
2,2973691,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76112,https://doi.org/10.15454/QKZFIG,AO15028,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,74.54,
1,2973690,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76112,https://doi.org/10.15454/QKZFIG,AO15028,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,78.25,
2,2973693,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76112,https://doi.org/10.15454/QKZFIG,AO15028,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,10.88,,79.05,
1,2973692,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76112,https://doi.org/10.15454/QKZFIG,AO15028,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,12.16,,82.85,
1,2973696,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76113,https://doi.org/10.15454/JJZSKL,RE14039,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,11.91,,72.99,
2,2973695,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76113,https://doi.org/10.15454/JJZSKL,RE14039,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,76.59,
1,2973694,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76113,https://doi.org/10.15454/JJZSKL,RE14039,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,75.69,
2,2973697,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76113,https://doi.org/10.15454/JJZSKL,RE14039,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,10.83,,75.24,
2,2973701,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76114,https://doi.org/10.15454/TBQHLR,RE14070,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,10.65,,NA,
1,2973700,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76114,https://doi.org/10.15454/TBQHLR,RE14070,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,10.91,,82.03,
2,2973699,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76114,https://doi.org/10.15454/TBQHLR,RE14070,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,80.42,
1,2973698,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76114,https://doi.org/10.15454/TBQHLR,RE14070,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,82.46,
2,2973703,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76115,https://doi.org/10.15454/0ZTAZP,EM13033,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,75.69,
1,2973702,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76115,https://doi.org/10.15454/0ZTAZP,EM13033,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,72.12,
2,2973705,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76115,https://doi.org/10.15454/0ZTAZP,EM13033,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,11.02,,83.01,
1,2973704,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76115,https://doi.org/10.15454/0ZTAZP,EM13033,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,11.76,,82.19,
1,2973708,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76116,https://doi.org/10.15454/BY4WPK,AO15030,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,11.5,,86.77,
2,2973707,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76116,https://doi.org/10.15454/BY4WPK,AO15030,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,78.5,
2,2973709,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76116,https://doi.org/10.15454/BY4WPK,AO15030,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,10.75,,82.07,
1,2973706,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76116,https://doi.org/10.15454/BY4WPK,AO15030,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,81.05,
2,2973713,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76117,https://doi.org/10.15454/OWSYXF,CF14034,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,11.05,,72.48,
1,2973712,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76117,https://doi.org/10.15454/OWSYXF,CF14034,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,10.53,,70.63,
1,2973710,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76117,https://doi.org/10.15454/OWSYXF,CF14034,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,70.33,
2,2973711,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76117,https://doi.org/10.15454/OWSYXF,CF14034,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,74.29,
1,2973612,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,12.28,,78.44,
1,2973610,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,70.33,
