observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Barokitkt,2974082,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,traite,2015,135,,80,,101.1,,89.9,
RE14108itkt,2974084,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76127,https://doi.org/10.15454/AD8RLH,RE14108,VIRTUAL_TRIAL,,,,,,,,traite,2015,137,,77.5,,94.4,,83.9,
DI15008itkt,2974085,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76128,https://doi.org/10.15454/2GXQKU,DI15008,VIRTUAL_TRIAL,,,,,,,,traite,2015,136,,78,,102.2,,90.9,
EM14076itkt,2974086,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76129,https://doi.org/10.15454/SEPVQZ,EM14076,VIRTUAL_TRIAL,,,,,,,,traite,2015,137,,75.5,,98.4,,87.5,
EM14073itkt,2974087,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76130,https://doi.org/10.15454/HCRZO8,EM14073,VIRTUAL_TRIAL,,,,,,,,traite,2015,136,,78.5,,99.1,,88.1,
EM14072itkt,2974088,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76131,https://doi.org/10.15454/65J2ZZ,EM14072,VIRTUAL_TRIAL,,,,,,,,traite,2015,134,,81,,93.2,,82.9,
CF14324itkt,2974089,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76132,https://doi.org/10.15454/EV7GLW,CF14324,VIRTUAL_TRIAL,,,,,,,,traite,2015,128,,81,,93.2,,82.8,
RE14109itkt,2974090,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76133,https://doi.org/10.15454/CATQUC,RE14109,VIRTUAL_TRIAL,,,,,,,,traite,2015,140,,79,,89.7,,79.8,
CF14322itkt,2974091,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76134,https://doi.org/10.15454/PLAU7T,CF14322,VIRTUAL_TRIAL,,,,,,,,traite,2015,132,,77.5,,104.2,,92.7,
RE14126itkt,2974092,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76135,https://doi.org/10.15454/94U6BB,RE14126,VIRTUAL_TRIAL,,,,,,,,traite,2015,137,,82.5,,90.8,,80.7,
