observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
Barokitkt,2974642,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,traite,2015,92,,138,,10.7,,98.9,,,,121,,,,,
DI15007itkt,2974644,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76126,https://doi.org/10.15454/MP2YBX,DI15007,VIRTUAL_TRIAL,,,,,,,,traite,2015,85,,140,,11.2,,96,,,,117.5,,,,,
RE14108itkfi,2974645,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76127,https://doi.org/10.15454/AD8RLH,RE14108,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,94,,142,,10.5,,106.9,,2,,102.3,,2,,2.2,
RE14108itkt,2974646,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76127,https://doi.org/10.15454/AD8RLH,RE14108,VIRTUAL_TRIAL,,,,,,,,traite,2015,97,,141,,11.2,,93.3,,,,114.2,,,,,
DI15008itkt,2974648,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76128,https://doi.org/10.15454/2GXQKU,DI15008,VIRTUAL_TRIAL,,,,,,,,traite,2015,85,,142,,11.3,,89.6,,,,109.7,,,,,
DI15008itkfi,2974647,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76128,https://doi.org/10.15454/2GXQKU,DI15008,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,79,,144,,10.8,,91.6,,3.8,,87.7,,1,,2.2,
EM14076itkt,2974650,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76129,https://doi.org/10.15454/SEPVQZ,EM14076,VIRTUAL_TRIAL,,,,,,,,traite,2015,99,,142,,10,,97.7,,,,119.6,,,,,
EM14076itkfi,2974649,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76129,https://doi.org/10.15454/SEPVQZ,EM14076,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,92,,147,,9.6,,110.7,,1,,106,,2.5,,5.2,
EM14073itkt,2974652,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76130,https://doi.org/10.15454/HCRZO8,EM14073,VIRTUAL_TRIAL,,,,,,,,traite,2015,98,,139,,10,,104.3,,,,127.6,,,,,
EM14073itkfi,2974651,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76130,https://doi.org/10.15454/HCRZO8,EM14073,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,88,,141,,9.3,,109.2,,1.8,,104.5,,2.2,,2.8,
EM14072itkt,2974654,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76131,https://doi.org/10.15454/65J2ZZ,EM14072,VIRTUAL_TRIAL,,,,,,,,traite,2015,96,,141,,10.9,,105.4,,,,129,,,,,
EM14072itkfi,2974653,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76131,https://doi.org/10.15454/65J2ZZ,EM14072,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,94,,140,,10.3,,108.3,,1.8,,103.7,,1,,2.8,
CF14324itkt,2974656,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76132,https://doi.org/10.15454/EV7GLW,CF14324,VIRTUAL_TRIAL,,,,,,,,traite,2015,86,,134,,11.5,,95,,,,116.2,,,,,
CF14324itkfi,2974655,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76132,https://doi.org/10.15454/EV7GLW,CF14324,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,82,,134,,10.9,,92,,1.5,,88.1,,1,,3.8,
RE14109itkt,2974658,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76133,https://doi.org/10.15454/CATQUC,RE14109,VIRTUAL_TRIAL,,,,,,,,traite,2015,92,,142,,10.8,,91.1,,,,111.5,,,,,
RE14109itkfi,2974657,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76133,https://doi.org/10.15454/CATQUC,RE14109,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,90,,147,,10,,92.3,,1.8,,88.4,,1,,2.5,
CF14322itkfi,2974659,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76134,https://doi.org/10.15454/PLAU7T,CF14322,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,90,,136,,11,,99.2,,1,,95,,1,,5.8,
CF14322itkt,2974660,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76134,https://doi.org/10.15454/PLAU7T,CF14322,VIRTUAL_TRIAL,,,,,,,,traite,2015,94,,136,,10.9,,97.5,,,,119.3,,,,,
