observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieD(CO_321:1000255),NmieD(CO_321:1000255).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NmieS(CO_321:1000248),NmieS(CO_321:1000248).date,NpainD(CO_321:1000254),NpainD(CO_321:1000254).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpainS(CO_321:1000247),NpainS(CO_321:1000247).date,NpateD(CO_321:1000253),NpateD(CO_321:1000253).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NpateS(CO_321:1000246),NpateS(CO_321:1000246).date,NtotD(CO_321:1000256),NtotD(CO_321:1000256).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,NtotS(CO_321:1000249),NtotS(CO_321:1000249).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volD(CO_321:1000257),volD(CO_321:1000257).date,volL(CO_321:1000245),volL(CO_321:1000245).date,volS(CO_321:1000250),volS(CO_321:1000250).date,zel(CO_321:1000222),zel(CO_321:1000222).date
AO13026itkt,2976700,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,traite,2014,14.4,,42,,100,,,,,,32.9,,,,,,97,,,,,,229.9,,,,,,138,,3.32,,225,,43,,358,,,,9.8,,,,1231,,,,,,25,
AO13029itkt,2976697,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,traite,2014,16.1,,53,,100,,,,,,34.4,,,,,,94,,,,,,228.4,,,,,,94,,1.8,,175,,42,,276,,,,10,,,,1287,,,,,,20,
CF13057itkt,2976699,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,61065,https://doi.org/10.15454/IEJHD9,CF13057,VIRTUAL_TRIAL,,,,,,,,traite,2014,19.1,,74,,,,100,,,,,,68.8,,,,,,92.63,,,,,,261.43,,,,72,,0.97,,177,,63,,254,,55.1,,9.5,,75.6,,,,1415,,,,,
CF13131itkt,2976722,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,61136,https://doi.org/10.15454/JQLJOT,CF13131,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.6,,86,,,,100,,,,,,64,,,,,,89.63,,,,,,253.63,,,,57,,0.66,,146,,56,,205,,54.8,,9.3,,77,,,,1255,,,,,
AO13031itkt,2976702,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,traite,2014,13.3,,36,,100,,,,,,29,,,,,,70,,,,,,199,,,,,,157,,4.36,,230,,42,,207,,,,10,,,,1018,,,,,,25,
CF13085itkt,2976729,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,61107,https://doi.org/10.15454/18C6AU,CF13085,VIRTUAL_TRIAL,,,,,,,,traite,2014,21.5,,94,,,,100,,,,,,49.58,,,,,,82.88,,,,,,232.46,,,,67,,0.71,,185,,32,,243,,51.5,,9.9,,78.7,,,,1440,,,,,
CF13187itkt,2976737,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,61181,https://doi.org/10.15454/RVUPRG,CF13187,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.3,,83,,,,100,,,,,,65.8,,,,,,80.38,,,,,,246.18,,,,55,,0.66,,122,,64,,252,,51.2,,9.2,,78.4,,,,1315,,,,,
DI14001itkt,2976693,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,61257,https://doi.org/10.15454/VZKVRG,DI14001,VIRTUAL_TRIAL,,,,,,,,traite,2014,16.2,,53,,94,,,,,,28.7,,,,,,60.3,,,,,,183,,,,,,68,,1.28,,123,,33,,204,,,,9.5,,,,1245,,,,,,16,
AO13042itkt,2976712,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,traite,2014,16.9,,58,,100,,,,,,54.1,,,,,,82,,,,,,236.1,,,,,,89,,1.55,,178,,41,,272,,,,10,,,,1337,,,,,,25,
DI14004itkt,2976691,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,61305,https://doi.org/10.15454/QTCIDC,DI14004,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.7,,87,,100,,,,,,54.3,,,,,,79.2,,,,,,233.5,,,,,,69,,0.8,,139,,45,,235,,,,9.9,,,,1415,,,,,,20,
