observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NpainC(CO_321:1000233),NpainC(CO_321:1000233).date,NpateC(CO_321:1000232),NpateC(CO_321:1000232).date,NtotC(CO_321:1000234),NtotC(CO_321:1000234).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pel(CO_321:1000223),pel(CO_321:1000223).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,sds(CO_321:1000224),sds(CO_321:1000224).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
Ressoritkt,2767253,BTH_Lusignan_2000_TECH,BTH_Lusignan_2000_TECH,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,treated,2000,"19,9",,80,,129,,62,,191,,39,,"0,49",,112,,8,,334,,95,,"11,3",,"74,5",,34,,"1,81",,20,
DI00005itkt,2767230,BTH_Lusignan_2000_TECH,BTH_Lusignan_2000_TECH,26857,https://doi.org/10.15454/HTU2TO,DI00005,VIRTUAL_TRIAL,,,,,,,,treated,2000,"20,4",,84,,154,,65,,219,,59,,"0,71",,181,,20,,387,,138,,"11,8",,75,,52,,"2,45",,29,
DI00016itkt,2767262,BTH_Lusignan_2000_TECH,BTH_Lusignan_2000_TECH,26859,https://doi.org/10.15454/KODDU6,DI00016,VIRTUAL_TRIAL,,,,,,,,treated,2000,"14,7",,44,,145,,69,,214,,78,,"1,78",,148,,-4,,324,,136,,"10,7",,78,,40,,"3,39",,22,
CF99005itkt,2767254,BTH_Lusignan_2000_TECH,BTH_Lusignan_2000_TECH,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,treated,2000,"19,9",,80,,135,,60,,195,,71,,"0,89",,231,,34,,397,,202,,"11,7",,"77,5",,52,,"1,78",,31,
RE99009itkt,2767263,BTH_Lusignan_2000_TECH,BTH_Lusignan_2000_TECH,26000,https://doi.org/10.15454/VOIVEZ,RE99009,VIRTUAL_TRIAL,,,,,,,,treated,2000,"20,1",,82,,157,,68,,225,,31,,"0,38",,100,,21,,248,,95,,"12,1",,"71,5",,40,,"1,44",,24,
CF00193itkt,2767227,BTH_Lusignan_2000_TECH,BTH_Lusignan_2000_TECH,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,treated,2000,"21,4",,93,,160,,65,,225,,90,,"0,97",,309,,43,,394,,174,,"12,5",,76,,59,,"2,11",,39,
CF00189itkt,2767239,BTH_Lusignan_2000_TECH,BTH_Lusignan_2000_TECH,25896,https://doi.org/10.15454/RWJVRH,CF00189,VIRTUAL_TRIAL,,,,,,,,treated,2000,"23,7",,114,,154,,67,,221,,50,,"0,44",,175,,-3,,336,,86,,"12,3",,"75,5",,53,,"2,92",,25,
CF99105itkt,2767261,BTH_Lusignan_2000_TECH,BTH_Lusignan_2000_TECH,25897,https://doi.org/10.15454/J6YB10,CF99105,VIRTUAL_TRIAL,,,,,,,,treated,2000,"24,7",,124,,132,,65,,197,,71,,"0,58",,273,,43,,368,,119,,13,,78,,58,,"2,81",,42,
CF00191itkt,2767259,BTH_Lusignan_2000_TECH,BTH_Lusignan_2000_TECH,25999,https://doi.org/10.15454/VRBLKL,CF00191,VIRTUAL_TRIAL,,,,,,,,treated,2000,"19,5",,77,,142,,56,,198,,60,,"0,77",,176,,1,,343,,120,,"11,9",,"74,5",,51,,"2,97",,28,
CF99031itkt,2767237,BTH_Lusignan_2000_TECH,BTH_Lusignan_2000_TECH,25998,https://doi.org/10.15454/PNTBI5,CF99031,VIRTUAL_TRIAL,,,,,,,,treated,2000,"19,5",,77,,146,,66,,212,,65,,"0,84",,188,,48,,369,,188,,"12,2",,"79,5",,45,,"2,41",,29,
DI9714itkt,2767236,BTH_Lusignan_2000_TECH,BTH_Lusignan_2000_TECH,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,treated,2000,"23,8",,115,,163,,69,,232,,92,,"0,8",,360,,33,,363,,162,,13,,77,,63,,"3,18",,41,
Voltigeitkt,2767243,BTH_Lusignan_2000_TECH,BTH_Lusignan_2000_TECH,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,treated,2000,"19,1",,74,,99,,39,,138,,54,,"0,72",,166,,13,,359,,126,,12,,"77,5",,44,,"1,54",,26,
