observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Ressoritknt,2767981,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"97,1",,1,,"81,4",,5,,,
Ressoritkfi,2767980,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"105,9",,,,85,,,,,
CF9825itkfi,2767941,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,28761,https://doi.org/10.15454/PFN7OE,CF9825,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,95,,,,"76,3",,,,,
Voltigeitkfi,2767956,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"117,7",,,,"94,5",,,,,
Ressoritkt,2767982,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,treated,2001,146,,"102,6",,,,"109,5",,,,"1,5",
CF99075itknt,2767954,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,48935,https://doi.org/10.15454/KCTYDW,CF99075,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"100,9",,1,,"84,6",,1,,,
CF9825itknt,2767942,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,28761,https://doi.org/10.15454/PFN7OE,CF9825,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"92,6",,1,,"77,6",,4,,,
EM99012itknt,2768020,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,25901,https://doi.org/10.15454/VOT84X,EM99012,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"104,2",,1,,"87,4",,1,,,
CF99005itkfi,2767983,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"109,5",,,,"87,9",,,,,
CF99005itknt,2767984,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"103,2",,2,,"86,5",,2,,,
CF99005itkt,2767985,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,treated,2001,144,,"100,1",,,,"106,9",,,,1,
EM99017itknt,2768023,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"109,7",,1,,"91,9",,1,,,
EM99003itkt,2767967,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,28757,https://doi.org/10.15454/22NWEC,EM99003,VIRTUAL_TRIAL,,,,,,,,treated,2001,148,,"91,9",,,,"98,1",,,,1,
EM99012itkt,2768021,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,25901,https://doi.org/10.15454/VOT84X,EM99012,VIRTUAL_TRIAL,,,,,,,,treated,2001,149,,"95,9",,,,"102,4",,,,1,
Orvantisitkt,2767994,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2001,146,,"108,9",,,,"116,3",,,,2,
EM99017itkt,2768024,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,treated,2001,145,,111,,,,"118,5",,,,"3,5",
EM99017itkfi,2768022,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"113,5",,,,"91,2",,,,,
RE99004itkfi,2767959,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,28768,https://doi.org/10.15454/WOEZF0,RE99004,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"98,3",,,,"78,9",,,,,
EM99012itkfi,2768019,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,25901,https://doi.org/10.15454/VOT84X,EM99012,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"113,6",,,,"91,2",,,,,
RE99009itkfi,2768004,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,26000,https://doi.org/10.15454/VOIVEZ,RE99009,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"105,7",,,,"84,9",,,,,
EM99001itkt,2767973,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,26865,https://doi.org/10.15454/LFQX9O,EM99001,VIRTUAL_TRIAL,,,,,,,,treated,2001,150,,"95,5",,,,"101,9",,,,1,
EM99001itknt,2767972,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,26865,https://doi.org/10.15454/LFQX9O,EM99001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"89,1",,1,,"74,7",,1,,,
EM99001itkfi,2767971,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,26865,https://doi.org/10.15454/LFQX9O,EM99001,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"96,5",,,,"77,5",,,,,
RE99009itknt,2768005,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,26000,https://doi.org/10.15454/VOIVEZ,RE99009,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"105,3",,2,,"88,3",,6,,,
RE99009itkt,2768006,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,26000,https://doi.org/10.15454/VOIVEZ,RE99009,VIRTUAL_TRIAL,,,,,,,,treated,2001,150,,"102,1",,,,109,,,,1,
CF99105itknt,2768002,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,25897,https://doi.org/10.15454/J6YB10,CF99105,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"106,6",,1,,"89,4",,1,,,
Orvantisitknt,2767993,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"105,3",,1,,"88,3",,5,,,
EM99003itknt,2767966,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,28757,https://doi.org/10.15454/22NWEC,EM99003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"96,7",,1,,"81,1",,3,,,
RE99004itkt,2767961,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,28768,https://doi.org/10.15454/WOEZF0,RE99004,VIRTUAL_TRIAL,,,,,,,,treated,2001,146,,"103,1",,,,"110,1",,,,1,
