observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Ressoritknt,2768233,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"100,5",,"102,1",,1,,,
CF9825itkfi,2768193,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,28761,https://doi.org/10.15454/PFN7OE,CF9825,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"96,7",,"119,4",,,,,
CF99075itknt,2768206,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,48935,https://doi.org/10.15454/KCTYDW,CF99075,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"119,1",,121,,1,,,
Ressoritkfi,2768232,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"98,3",,"121,4",,,,,
Orvantisitkt,2768246,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2001,144,,"102,3",,"135,2",,,,9,
CF99005itkt,2768237,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,treated,2001,139,,"99,8",,132,,,,6,
Orvantisitkfi,2768244,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"102,2",,"126,2",,,,,
RE99004itknt,2768212,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,28768,https://doi.org/10.15454/WOEZF0,RE99004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"112,6",,"114,4",,1,,,
EM99017itknt,2768275,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"77,7",,79,,1,,,
EM99012itkt,2768273,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,25901,https://doi.org/10.15454/VOT84X,EM99012,VIRTUAL_TRIAL,,,,,,,,treated,2001,147,,"96,8",,"128,1",,,,1,
