"doc_id","section_name","content"
"24104565","articletitle","Reticulate evolution of the rye genome."
"24104565","abstracttext","Rye (Secale cereale) is closely related to wheat (Triticum aestivum) and barley (Hordeum vulgare). Due to its large genome (~8 Gb) and its regional importance, genome analysis of rye has lagged behind other cereals. Here, we established a virtual linear gene order model (genome zipper) comprising 22,426 or 72% of the detected set of 31,008 rye genes. This was achieved by high-throughput transcript mapping, chromosome survey sequencing, and integration of conserved synteny information of three sequenced model grass genomes (Brachypodium distachyon, rice [Oryza sativa], and sorghum [Sorghum bicolor]). This enabled a genome-wide high-density comparative analysis of rye/barley/model grass genome synteny. Seventeen conserved syntenic linkage blocks making up the rye and barley genomes were defined in comparison to model grass genomes. Six major translocations shaped the modern rye genome in comparison to a putative Triticeae ancestral genome. Strikingly dissimilar conserved syntenic gene content, gene sequence diversity signatures, and phylogenetic networks were found for individual rye syntenic blocks. This indicates that introgressive hybridizations (diploid or polyploidy hybrid speciation) and/or a series of whole-genome or chromosome duplications played a role in rye speciation and genome evolution."
"25818702","articletitle","The barley Uniculme4 gene encodes a BLADE-ON-PETIOLE-like protein that controls tillering and leaf patterning."
"25818702","abstracttext","Tillers are vegetative branches that develop from axillary buds located in the leaf axils at the base of many grasses. Genetic manipulation of tillering is a major objective in breeding for improved cereal yields and competition with weeds. Despite this, very little is known about the molecular genetic bases of tiller development in important Triticeae crops such as barley (Hordeum vulgare) and wheat (Triticum aestivum). Recessive mutations at the barley Uniculme4 (Cul4) locus cause reduced tillering, deregulation of the number of axillary buds in an axil, and alterations in leaf proximal-distal patterning. We isolated the Cul4 gene by positional cloning and showed that it encodes a BROAD-COMPLEX, TRAMTRACK, BRIC-À-BRAC-ankyrin protein closely related to Arabidopsis (Arabidopsis thaliana) BLADE-ON-PETIOLE1 (BOP1) and BOP2. Morphological, histological, and in situ RNA expression analyses indicate that Cul4 acts at axil and leaf boundary regions to control axillary bud differentiation as well as the development of the ligule, which separates the distal blade and proximal sheath of the leaf. As, to our knowledge, the first functionally characterized BOP gene in monocots, Cul4 suggests the partial conservation of BOP gene function between dicots and monocots, while phylogenetic analyses highlight distinct evolutionary patterns in the two lineages."
"26476792","articletitle","Wheat TaSP gene improves salt tolerance in transgenic Arabidopsis thaliana."
"26476792","abstracttext","A novel salt-induced gene with unknown functions was cloned through analysis of gene expression profile of a salt-tolerant wheat mutant RH8706-49 under salt stress. The gene was named Triticum aestivum salt-related protein (TaSP) and deposited in GenBank (Accession No. KF307326). Quantitative polymerase chain reaction (qPCR) results showed that TaSP expression was induced under salt, abscisic acid (ABA), and polyethylene glycol (PEG) stresses. Subcellular localization revealed that TaSP was mainly localized in cell membrane. Overexpression of TaSP in Arabidopsis could improve salt tolerance of 35S::TaSP transgenic Arabidopsis. 35S::TaSP transgenic Arabidopsis lines after salt stress presented better physiological indexes than the control group. In the non-invasive micro-test (NMT), an evident Na(+) excretion was observed at the root tip of salt-stressed 35S::TaSP transgenic Arabidopsis. TaSP promoter was cloned, and its beta-glucuronidase (GUS) activities before and after ABA, salt, cold, heat, and salicylic acid (SA) stresses were determined. Full-length TaSP promoter contained ABA and salt response elements."
"29320529","articletitle","How exogenous nitric oxide regulates nitrogen assimilation in wheat seedlings under different nitrogen sources and levels."
"29320529","abstracttext","Nitrogen (N) is one of the most important nutrients for plants and nitric oxide (NO) as a signaling plant growth regulator involved in nitrogen assimilation. Understanding the influence of exogenous NO on nitrogen metabolism at the gene expression and enzyme activity levels under different sources of nitrogen is vitally important for increasing nitrogen use efficiency (NUE). This study investigated the expression of key genes and enzymes in relation to nitrogen assimilation in two Australian wheat cultivars, a popular high NUE cv. Spitfire and a normal NUE cv. Westonia, under different combinations of nitrogen and sodium nitroprusside (SNP) as the NO donor. Application of NO increased the gene expressions and activities of nitrogen assimilation pathway enzymes in both cultivars at low levels of nitrogen. At high nitrogen supplies, the expressions and activities of N assimilation genes increased in response to exogenous NO only in cv. Spitfire but not in cv. Westonia. Exogenous NO caused an increase in leaf NO content at low N supplies in both cultivars, while under high nitrogen treatments, cv. Spitfire showed an increase under ammonium nitrate (NH4NO3) treatment but cv. Westonia was not affected. N assimilation gene expression and enzyme activity showed a clear relationship between exogenous NO, N concentration and N forms in primary plant nitrogen assimilation. Results reveal the possible role of NO and different nitrogen sources on nitrogen assimilation in Triticum aestivum plants."
"32145229","articletitle","Genome-wide identification and analysis of the Q-type C2H2 gene family in potato (Solanum tuberosum L.)."
"32145229","abstracttext","Plant Q-type C2H2 zinc finger proteins play an important role in plant tolerance to abiotic stresses. Although the Q-type C2H2 gene family has been identified in many plants, little is known about it in potato (Solanum tuberosum). In the present study, a total of 79 Q-type C2H2 proteins in potato (StZFPs) were identified and their distribution on chromosomes, gene structure, and conserved motifs was assessed. According to their protein structural and phylogenetic features, these 79 StZFPs were classified into 12 distinct subclasses. Collinearity analysis showed that tandem and segmental duplication events played a crucial role in expansion of the StZFP gene family. Synteny analysis indicated that 11 and 21 StZFP genes were orthologous to Arabidopsis and wheat (Triticum aestivum), respectively. RNA-seq data were used to analyze the tissue-specific expression and abiotic stress responses of the StZFP genes. Furthermore, we analyzed the expression of StZFP genes in drought-sensitive and drought-tolerant potato cultivars under drought stress. Subsequently, we used qPCR (Quantitative real-time-PCR) to calculate the relative expression of candidate genes in potato plantlets treated with NaCl (100 mM) and PEG 6000 (10% w/v) for 24 h. Such candidate genes could provide valuable information for abiotic stress resistance research in potato."
"32481135","articletitle","Germanium as a tool to dissect boron toxicity effects in barley and wheat."
"32481135","abstracttext","Tolerance to boron (B) toxicity in barley (Hordeum vulgare L.) is partially attributable to HvNIP2;1, an aquaporin with permeability to B, as well as to silicon, arsenic and germanium (Ge). In this study, we mapped leaf symptoms of Ge toxicity in a doubled-haploid barley population (Clipper×Sahara 3771). Two quantitative trait loci (QTL) associated with Ge toxicity symptoms were identified, located on Chromosomes 6H and 2H. These QTL co-located with two of four B toxicity tolerance loci previously mapped in the same population. The B toxicity tolerance gene underlying the 6H locus encodes HvNIP2;1, whereas the gene(s) and mechanisms underlying the 2H locus are as yet unknown. We provide examples of the application of Ge in studying specific aspects of B toxicity tolerance in plants, including screening of wheat (Triticum aestivum L.) and barley populations for altered function of HvNIP2;1 and related proteins. In particular, Ge may facilitate elucidation of the mechanism and gene(s) underlying the barley Chromosome 2H B tolerance locus."
"32671269","articletitle","Expression of SidD gene and physiological characterization of the rhizosphere plant growth-promoting yeasts."
"32671269","abstracttext","There is increasing evidence that rhizosphere microbes contribute to the stress mitigation process, but the mechanisms of this plant-microbe interaction are not yet understood. Siderophores-producing microorganisms have been considered important for enhancing metal tolerance in plants. In this study, rhizosphere yeasts were isolated from wheat ( Triticum aestivum L.) and examined for siderophores production and heavy metal resistance. Out of thirty-five isolates, only eight yeast strains showed heavy metal-resistance and plant-growth promotion properties. The highest inorganic phosphate-solubilization was shown by Trichosporon ovoides IFM 63839 (2.98 mg ml -1 ) and Saccharomyces cerevisiae FI25-1F (2.54 mg ml -1 ). Two strains, namely YEAST-6 and YEAST-16 showed high siderophore production and heavy metal-resistance, were investigated for sidD gene expression under different levels of Cd 2+ and Pb 2+ toxicity stress. The heavy metal-resistant yeast strains were characterized and identified based on the phenotypic characteristics and their 18S rRNA genes sequence. SidD gene expression was induced by yeasts growing under iron-limiting conditions and excess of other heavy metal, suggesting that expression of sidD gene increases in the presence of 600-800 μM heavy metal but under iron limitation. Extensive studies of the microbe-plant micronutrient interactions will enrich our understanding of the rhizosphere role in the terms of plant growth promotion."
"18800227","articletitle","Characterization of the TaAIDFa gene encoding a CRT/DRE-binding factor responsive to drought, high-salt, and cold stress in wheat."
"18800227","abstracttext","Dehydration responsive element-binding factors (DBFs) belong to the AP2/ERF superfamily and play vital regulatory roles in abiotic stress responses in plants. In this study, we isolated three novel homologs of the DBF gene family in wheat (Triticum aestivum L.) by screening a drought-induced cDNA library and designated them as TaAIDFs (T. aestivum abiotic stress-induced DBFs). Compared to TaAIDFb and TaAIDFc, TaAIDFa lacks a short Ser/Thr-rich region, a putative phosphorylation site, following the AP2/ERF domain. The TaAIDFa gene, located on chromosome 3BS, is interrupted by a single intron at the 17th Arg (R) in the N-terminal domain. The N-terminal region of the TaAIDFa protein modulates nuclear localization. The TaAIDFa protein is capable of binding to CRT/DRE elements in vitro and in vivo, and of trans-activating reporter gene expression in yeast cells. The TaAIDFa promoter, with various stress-related cis-acting elements, drives expression of the GUS reporter gene in wheat calli under stress conditions. This was further confirmed by responses of TaAIDFa transcripts to drought, salinity, low-temperature, and exogenous ABA. Furthermore, overexpression of TaAIDFa activated CRT/DRE-containing genes under normal growth conditions, and improved drought and osmotic stress tolerances in transgenic Arabidopsis plants. These results suggested that TaAIDFa encodes a CRT/DRE element-binding factor that might be involved in multiple abiotic stress signal transduction pathways."
"26581444","articletitle","Genome-wide identification and evolutionary analyses of bZIP transcription factors in wheat and its relatives and expression profiles of anther development related TabZIP genes."
"26581444","abstracttext_background","Among the largest and most diverse transcription factor families in plants, basic leucine zipper (bZIP) family participate in regulating various processes, including floral induction and development, stress and hormone signaling, photomorphogenesis, seed maturation and germination, and pathogen defense. Although common wheat (Triticum aestivum L.) is one of the most widely cultivated and consumed food crops in the world, there is no comprehensive analysis of bZIPs in wheat, especially those involved in anther development. Previous studies have demonstrated wheat, T. urartu, Ae. tauschii, barley and Brachypodium are evolutionarily close in Gramineae family, however, the real evolutionary relationship still remains mysterious."
"26581444","abstracttext_results","In this study, 187 bZIP family genes were comprehensively identified from current wheat genome. 98, 96 and 107 members of bZIP family were also identified from the genomes of T.urartu, Ae.tauschii and barley, respectively. Orthology analyses suggested 69.4 % of TubZIPs were orthologous to 68.8 % of AetbZIPs and wheat had many more in-paralogs in the bZIP family than its relatives. It was deduced wheat had a closer phylogenetic relationship with barley and Brachypodium than T.urartu and Ae.tauschii. bZIP proteins in wheat, T.urartu and Ae.tauschii were divided into 14 subgroups based on phylogenetic analyses. Using Affymetrix microarray data, 48 differentially expressed TabZIP genes were identified to be related to anther development from comparison between the male sterility line and the restorer line. Genes with close evolutionary relationship tended to share similar gene structures. 15 of 23 selected TabZIP genes contained LTR elements in their promoter regions. Expression of 21 among these 23 TabZIP genes were obviously responsive to low temperature. These 23 TabZIP genes all exhibited distinct tissue-specific expression pattern. Among them, 11 TabZIP genes were predominantly expressed in anther and most of them showed over-dominance expression mode in the cross combination TY806 × BS366."
"26581444","abstracttext_conclusions","The genome-wide identification provided an overall insight of bZIP gene family in wheat and its relatives. The evolutionary relationship of wheat and its relatives was proposed based on orthology analyses. Microarray and expression analyses suggested the potential involvement of bZIP genes in anther development and facilitated selection of anther development related gene for further functional characterization."
