doc_id,section_name,entity_id,entity_type,start_offset,end_offset,surface_form,reference,label
17020806,articletitle,F13674A10CABD860F6A9255794310D53E2D672E2,taxon,77,98,Phaeosphaeria nodorum,"http://purl.obolibrary.org/obo/NCBITaxon_13684",Parastagonospora nodorum
17020806,articletitle,A9990B39B8F5E65244B9C01E8F91772EB5A9EDC0,taxon,103,114,P. avenaria,"http://purl.obolibrary.org/obo/NCBITaxon_1351752",Parastagonospora avenae
17020806,abstracttext,61E7D25D0BE022F72D139E20277D2F53C9AC2D4B,taxon,168,173,wheat,"http://purl.obolibrary.org/obo/NCBITaxon_4565",Triticum aestivum
17020806,abstracttext,2B2DDBC8EBC014C497FC4A7550861F5F1F31C2DD,taxon,182,203,Phaeosphaeria nodorum,"http://purl.obolibrary.org/obo/NCBITaxon_13684",Parastagonospora nodorum
17020806,abstracttext,3C3BA0BA028B28068EA0B664E3E81239B311A114,taxon,405,416,prokaryotes,"http://purl.obolibrary.org/obo/NCBITaxon_2",Bacteria
17020806,abstracttext,687613530F2F15ADF799A6FBCF87E82E453712D5,taxon,421,426,yeast,"http://purl.obolibrary.org/obo/NCBITaxon_4932",Saccharomyces cerevisiae
17020806,abstracttext,AC56B74E3BDFA3AC67B3BEBDE76932EC2B2FABF6,taxon,651,656,maize,"http://purl.obolibrary.org/obo/NCBITaxon_4577",Zea mays
17020806,abstracttext,297D1B9C08D65D53485FB6004A560C011D25EF7B,taxon,666,693,Cochliobolus heterostrophus,"http://purl.obolibrary.org/obo/NCBITaxon_5016",Bipolaris maydis
17020806,abstracttext,F98004A7AC335DEC9B293135FB02C6828CE11212,taxon,762,775,Phaeosphaeria,"http://purl.obolibrary.org/obo/NCBITaxon_55067",Phaeosphaeria
17020806,abstracttext,9F0D7641A172C2E7AF4361E11115A1509E1553CE,taxon,881,892,P. avenaria,"http://purl.obolibrary.org/obo/NCBITaxon_1351752",Parastagonospora avenae
17020806,abstracttext,FB9E8BEB39819ED7CB37BD53A404F7C14ACBDE5C,taxon,919,925,barley,"http://purl.obolibrary.org/obo/NCBITaxon_4513",Hordeum vulgare
17020806,abstracttext,2AA7DF920AE02FB3AB86DB2E1310DD0B917A465B,taxon,934,944,P. nodorum,"http://purl.obolibrary.org/obo/NCBITaxon_13684",Parastagonospora nodorum
20507502,abstracttext,A6C98E3C764B44D4AC38D70C8089108BBB87FC1F,taxon,53,58,wheat,"http://purl.obolibrary.org/obo/NCBITaxon_4565",Triticum aestivum
20507502,abstracttext,6CA9C41A1D8EA1BE9084F02C96FDA284F76C7055,taxon,69,97,Pyrenophora tritici-repentis,"http://purl.obolibrary.org/obo/NCBITaxon_45151",Pyrenophora tritici-repentis
20507502,abstracttext,F813EE91736BB1D09EFEC1CEE87BB1EA04797D0E,taxon,102,123,Phaeosphaeria nodorum,"http://purl.obolibrary.org/obo/NCBITaxon_13684",Parastagonospora nodorum
20507502,abstracttext,01C71A9F007001268AD04EEED5552F326CA43B15,gene,178,182,Tsn1,"http://ns.inria.fr/d2kab/gene/DD72934E962D1260864BD566C81ACF017EABB640",Tsn1
20507502,abstracttext,DA47BDCB50349537BAEE84A950DAA83B13BAEE9C,gene,279,281,Ph,"http://ns.inria.fr/d2kab/gene/A8D87BB9D798A729229479B67E6D1E2A2FEDBAD5",Ph
